date,skill,jobs_count,job_openings,avg_salary_usd,remote_pct,python_pct,aws_pct,gdp_growth,vc_funding_tech_bn,emerging_flag,experience_level,location_demand,industry_growth,source_count,month_sin,month_cos,semantic_skill_score,jobs_lag_1,jobs_lag_3,jobs_lag_6,jobs_lag_12,rolling_avg_3,rolling_avg_6,rolling_avg_12,trend_volatility,hiring_velocity,demand_acceleration,demand_momentum,workforce_growth_rate,skill_growth_rate,technology_adoption_rate,trend_slope_6,forecast_weight
2020-01,AWS,96455.0,220500.0,102733.33333333333,18.666666666666668,61.0,48.0,2.1,50.2,1.0,5.853383458646617,1.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0.8734215638659544,0.0,0.0,0.0,0.0,96455.0,96455.0,96455.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-02,AWS,100635.5,223150.0,103500.0,19.666666666666668,62.06666666666667,49.266666666666666,2.0,50.5,1.0,5.853383458646617,1.0,1.0,1.0,0.8660254037844386,0.5000000000000001,0.8739072365225837,96455.0,0.0,0.0,0.0,98545.25,98545.25,98545.25,2956.0598987503618,4180.5,4180.5,0.043341454564304494,0.021670727282152358,0.0,1.0433414545643045,4180.499999999983,1.0
2020-03,AWS,104138.0,225700.0,104266.66666666667,20.666666666666668,63.06666666666667,50.266666666666666,1.9,51.0,1.0,5.853383458646617,1.0,1.0,1.0,1.0,6.123233995736766e-17,0.8745143273433704,100635.5,0.0,0.0,0.0,100409.5,100409.5,100409.5,3846.4827115171074,3502.5,-678.0,0.03480382171301377,0.01891770531811532,0.0,1.0348038217130138,3841.499999999986,1.0
2020-04,AWS,107691.5,228250.0,105033.33333333333,21.666666666666668,64.06666666666666,51.266666666666666,1.8,51.5,1.0,5.853383458646617,1.0,1.0,1.0,0.8660254037844387,-0.4999999999999998,0.8752428363283147,104138.0,96455.0,0.0,0.0,104155.0,102230.0,102230.0,4808.37815692568,3553.5,51.0,0.03412299064702595,0.0181307545600764,0.11649473847908354,1.034122990647026,3721.199999999978,1.0
2020-05,AWS,111296.0,230800.0,105800.0,22.666666666666668,65.06666666666666,52.266666666666666,1.7,52.0,1.0,5.853383458646617,1.0,1.0,1.0,0.49999999999999994,-0.8660254037844387,0.8759713453132589,107691.5,100635.5,0.0,0.0,107708.5,104043.2,104043.2,5811.957206914036,3604.5,51.0,0.03347060817241854,0.0177364765724346,0.10593180338946007,1.0334706081724185,3673.7999999999897,1.0
2020-06,AWS,93001.5,190850.0,110750.0,25.0,68.41666666666667,53.25,1.6000000000000003,52.5,1.0,5.853383458646617,1.0,1.0,1.0,1.2246467991473532e-16,-1.0,0.8745143273433706,111296.0,104138.0,0.0,0.0,103996.33333333333,102202.91666666667,102202.91666666667,6880.62015676397,-18294.5,-21899.0,-0.16437697671075335,-0.017687684859109765,-0.10693982984117234,0.8356230232892466,521.9285714285659,1.0
2020-07,AWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93001.5,107691.5,96455.0,0.0,68099.16666666667,86127.08333333333,87602.5,42657.98352878,-93001.5,-74707.0,-1.0,-0.15729329316270335,-1.0,0.0,-15228.07142857143,1.0
2020-08,AWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111296.0,100635.5,0.0,31000.5,69354.5,76652.1875,54070.28909299449,0.0,93001.5,0.0,-0.1947422655475194,-1.0,0.0,-24630.257142857135,1.0
2020-09,AWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93001.5,104138.0,0.0,0.0,51998.166666666664,68135.27777777778,57289.93239712074,0.0,0.0,0.0,-0.25025533070432826,-1.0,0.0,-27581.342857142852,1.0
2020-10,AWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107691.5,0.0,0.0,34049.583333333336,61321.75,53065.68357650417,0.0,0.0,0.0,-0.34517723381273047,0.0,0.0,-23870.98571428571,1.0
