date,skill,jobs_count,jobs_lag_1,jobs_lag_3,jobs_lag_6,rolling_avg_3,rolling_avg_6,rolling_avg_12,trend_volatility,hiring_velocity,demand_acceleration,demand_momentum,workforce_growth_rate,skill_growth_rate,trend_slope_6,avg_salary_usd,remote_pct,gdp_growth,vc_funding_tech_bn,emerging_flag,experience_level,location_demand,industry_growth,semantic_skill_score,technology_adoption_rate,month_sin,month_cos
2020-01,Python,98.71918604956403,98.71918604956403,98.71918604956403,98.71918604956403,98.71918604956403,98.71918604956403,98.71918604956403,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102733.33333333331,18.666666666666668,2.1,50.2,1.0,5.853383458646617,1.0,1.0,0.876335599805731,1.0,0.49999999999999994,0.8660254037844387
2020-02,Python,98.9722005133878,98.71918604956403,98.71918604956403,98.71918604956403,98.84569328147592,98.84569328147592,98.84569328147592,0.0018099750952082945,0.25301446382377435,0.25301446382377435,1.0012798456636005,0.0025629715352064597,0.001279845663600552,0.0,103500.0,19.666666666666668,2.0,50.5,1.0,5.853383458646617,1.0,1.0,0.8768212724623603,1.030247641509434,0.8660254037844386,0.5000000000000001
2020-03,Python,99.26311700684363,98.9722005133878,98.71918604956403,98.71918604956403,98.98483452326515,98.98483452326515,98.98483452326515,0.0027497695052536974,0.2909164934558248,0.03790202963205047,1.0028113648410764,0.0029393758241889056,0.002811364841076464,0.2719654786398096,104266.66666666669,20.666666666666668,1.9,51.0,1.0,5.853383458646617,1.0,1.0,0.8771855269548323,1.028594116637097,1.0,6.123233995736766e-17
2020-04,Python,99.54961667951537,99.26311700684363,98.71918604956403,98.71918604956403,99.26164473324893,99.12603006232771,99.12603006232771,0.003625214666802546,0.2864996726717379,-0.0044168207840868945,1.0042732127668315,0.002886265123550169,0.004273212766831404,0.2782208383309677,105033.33333333331,21.666666666666668,1.8,51.5,1.0,5.853383458646617,1.0,1.0,0.8775497814473046,1.0281539285441053,0.8660254037844387,-0.4999999999999998
2020-05,Python,99.73393785834244,99.54961667951537,98.9722005133878,98.71918604956403,99.51555718156715,99.24761162153065,99.24761162153065,0.0041636553314694435,0.18432117882707644,-0.10217849384466149,1.0049001303796241,0.0018515508645349232,0.004900130379624053,0.2606919783684296,105800.0,22.666666666666668,1.7,52.0,1.0,5.853383458646617,1.0,1.0,0.8780354541039339,1.0277279830073938,0.49999999999999994,-0.8660254037844387
2020-06,Python,98.5985298830438,99.73393785834244,99.26311700684363,98.71918604956403,99.29402814030054,99.13943133178286,99.13943133178286,0.004587300075977372,-1.135407975298648,-1.3197291541257243,0.9945440331715353,-0.01138436924962627,-0.0054559668284647235,0.0562408821409867,110750.0,25.0,1.6000000000000003,52.5,1.0,5.853383458646617,1.0,1.0,0.8770641087906752,0.8673713864462114,1.2246467991473532e-16,-1.0
2020-07,Python,99.02112154174519,98.5985298830438,99.54961667951537,98.71918604956403,99.11786309437714,99.18975391381304,99.12252993320604,0.004172239245540153,0.4225916587013927,1.5579996340000406,0.998299901296112,0.004285983363065071,-0.0010230609683710137,-0.04470957287958405,110750.0,25.0,1.6000000000000003,52.5,1.0,5.853383458646617,1.0,1.0,0.8770641087906752,0.8673713864462114,-0.4999999999999997,-0.8660254037844388
2020-08,Python,99.63924113906228,99.02112154174519,99.73393785834244,98.9722005133878,99.08629752128375,99.30092735142546,99.18711883393807,0.0043591775890783665,0.6181195973170901,0.1955279386156974,1.0034069549666895,0.006242300508144671,0.0045582764217716835,-0.024007792214739226,110750.0,25.0,1.6000000000000003,52.5,1.0,5.853383458646617,1.0,1.0,0.8770641087906752,0.8673713864462114,-0.8660254037844385,-0.5000000000000004
2020-09,Python,100.0,99.63924113906228,98.5985298830438,99.26311700684363,99.55345422693581,99.42374118361818,99.27743896350052,0.005194539179840084,0.3607588609377217,-0.2573607363793684,1.0057959880559872,0.0036206504266147466,0.007278199800914844,0.06829766009382494,110750.0,25.0,1.6000000000000003,52.5,1.0,5.853383458646617,1.0,1.0,0.8770641087906752,0.8673713864462114,-1.0,-1.8369701987210297e-16
2020-10,Python,100.0,100.0,99.02112154174519,99.54961667951537,99.8797470463541,99.49880507036562,99.34969506715046,0.005713845324722643,0.0,-0.3607588609377217,1.0050371954646082,0.0,0.006545615790868763,0.17579544732780586,110750.0,25.0,1.6000000000000003,52.5,1.0,5.853383458646617,1.0,1.0,0.8770641087906752,0.8673713864462114,-0.8660254037844386,0.5000000000000001
